dataset_id,source_url,source_run_id,scraped_at,provider,provider_display_name,package_name,package_type,package_category,with_mirrors,download_date,downloads,author,model_id,hf_downloads_30d,hf_downloads_all_time,hf_downloads_daily_est,hf_likes,hf_last_modified,repo_full_name,repo_owner,repo_name,repo_html_url,repo_created_date,repo_created_at,repo_pushed_at,repo_default_branch,language_bucket,signal_date,signal_type,matched_file_path,matched_pattern,is_fork,is_archived,stargazers_count,has_manifest_dependency,has_code_import,has_env_var,has_model_name,matched_signal_count,pypi_7d_avg,pypi_28d_avg,pypi_share_28d,pypi_growth_28d,github_new_repo_count,github_repo_share,github_import_repo_count,github_env_repo_count,github_model_repo_count,momentum_score
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,anthropic,Anthropic,anthropic,sdk,,False,2025-10-10,1042267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,anthropic,Anthropic,anthropic,sdk,,True,2025-10-10,1044811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,google,Google,google-genai,sdk,,False,2025-10-10,3662999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,google,Google,google-genai,sdk,,True,2025-10-10,3665914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,google,Google,google-generativeai,legacy_sdk,,False,2025-10-10,416923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,google,Google,google-generativeai,legacy_sdk,,True,2025-10-10,417722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,openai,OpenAI,openai,sdk,,False,2025-10-10,4358880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260409T153233Z-59c78ef9,2026-04-09T15:32:33.031494Z,openai,OpenAI,openai,sdk,,True,2025-10-10,4373654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,anthropic,Anthropic,anthropic,sdk,,False,2025-10-11,520623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,anthropic,Anthropic,anthropic,sdk,,True,2025-10-11,521979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,google,Google,google-genai,sdk,,False,2025-10-11,3190250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,google,Google,google-genai,sdk,,True,2025-10-11,3193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,google,Google,google-generativeai,legacy_sdk,,False,2025-10-11,329878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,google,Google,google-generativeai,legacy_sdk,,True,2025-10-11,330373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,openai,OpenAI,openai,sdk,,False,2025-10-11,2622784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260410T080954Z-78ee8f3c,2026-04-10T08:09:54.727944Z,openai,OpenAI,openai,sdk,,True,2025-10-11,2630775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,anthropic,Anthropic,anthropic,sdk,,False,2025-10-12,487597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,anthropic,Anthropic,anthropic,sdk,,True,2025-10-12,489621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,google,Google,google-genai,sdk,,False,2025-10-12,3301284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,google,Google,google-genai,sdk,,True,2025-10-12,3302867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,google,Google,google-generativeai,legacy_sdk,,False,2025-10-12,334620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,google,Google,google-generativeai,legacy_sdk,,True,2025-10-12,335034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,openai,OpenAI,openai,sdk,,False,2025-10-12,2475213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260411T073428Z-b34488fe,2026-04-11T07:34:28.540219Z,openai,OpenAI,openai,sdk,,True,2025-10-12,2483352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,anthropic,Anthropic,anthropic,sdk,,False,2025-10-13,931264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,anthropic,Anthropic,anthropic,sdk,,True,2025-10-13,933348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,google,Google,google-genai,sdk,,False,2025-10-13,4069394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-genai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,google,Google,google-genai,sdk,,True,2025-10-13,4072493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,google,Google,google-generativeai,legacy_sdk,,False,2025-10-13,462486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/google-generativeai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,google,Google,google-generativeai,legacy_sdk,,True,2025-10-13,463121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,openai,OpenAI,openai,sdk,,False,2025-10-13,4132932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/openai/overall,20260412T075049Z-cca67057,2026-04-12T07:50:49.906943Z,openai,OpenAI,openai,sdk,,True,2025-10-13,4144251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260413T083156Z-e7a50889,2026-04-13T08:31:56.876236Z,anthropic,Anthropic,anthropic,sdk,,False,2025-10-14,1106632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pypi_downloads_daily,https://pypistats.org/api/packages/anthropic/overall,20260413T083156Z-e7a50889,2026-04-13T08:31:56.876236Z,anthropic,Anthropic,anthropic,sdk,,True,2025-10-14,1108700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
