dataset_id,as_of_date,company,operating_entity,parent_group,ticker,route_text,route_scope,leg_index,origin_name,destination_name,origin_pinyin,destination_pinyin,disclosed_frequency_text,weekly_flight_frequency,frequency_status,seats_per_flight,seats_per_flight_scenario_189,seats_source_quality,seats_operational_source_url,seats_operational_source_date,seats_scenario_source_url,seats_scenario_source_date,seats_conflict_note,stage_length_km,weekly_seat_capacity_proxy,weekly_ask_proxy_thousand,weekly_ask_proxy_scenario_189_thousand,route_capacity_status,source_url,source_quality,source_note,retrieved_at
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,上海虹桥=大理,domestic,1,上海虹桥,大理,shanghai,dali,周246,3.0,disclosed_weekly_schedule_days,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,2166.1,558.0,1208.68,1208.68,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 3.0 flights/week x 186.0 seats/flight = 558.0 seats/week (2166.1 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,上海虹桥=兰州=阿勒泰,domestic,1,上海虹桥,兰州,shanghai,lanzhou,天天班,7.0,disclosed_daily_schedule,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,1716.0,1302.0,2234.23,2234.23,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 7.0 flights/week x 186.0 seats/flight = 1302.0 seats/week (1716.0 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,上海虹桥=兰州=阿勒泰,domestic,2,兰州,阿勒泰,lanzhou,aletai,天天班,7.0,disclosed_daily_schedule,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,1837.5,1302.0,2392.43,2392.43,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 7.0 flights/week x 186.0 seats/flight = 1302.0 seats/week (1837.5 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,大连=烟台,domestic,1,大连,烟台,dalian,yantai,周246,3.0,disclosed_weekly_schedule_days,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,154.1,558.0,85.99,85.99,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805354.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 3.0 flights/week x 186.0 seats/flight = 558.0 seats/week (154.1 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,深圳=雅加达,international,1,深圳,雅加达,shenzhen,jakarta,周36,2.0,disclosed_weekly_schedule_days,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,3292.0,372.0,1224.62,1224.62,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2026-07-16/1225425623.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 2.0 flights/week x 186.0 seats/flight = 372.0 seats/week (3292.0 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Spring Airlines,Spring Airlines,Spring Airlines,601021.SH,广州=雅加达,international,1,广州,雅加达,guangzhou,jakarta,周257,3.0,disclosed_weekly_schedule_days,186.0,186.0,spring_annual_report_2025_a320_single_class_186_seats,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,2026-04-11,,3336.0,558.0,1861.49,1861.49,frequency_disclosed_proxy,https://static.cninfo.com.cn/finalpage/2026-07-16/1225425623.PDF,issuer_cninfo_operating_release,Operator Spring Airlines: Disclosed frequency 3.0 flights/week x 186.0 seats/flight = 558.0 seats/week (3336.0 km stage length),2026-08-07
airline_route_capacity_weights,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,广州—池州—沈阳,domestic,1,广州,池州,guangzhou,chizhou,每周3班,3.0,disclosed_weekly_frequency,188.0,189.0,9air_official_website_188_seats_with_annual_report_189_conflict,https://www.9air.com/cmsProvider/info/1011/1431.htm,2026-05-26,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,2026-04-23,"Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",936.7,564.0,528.3,531.11,frequency_disclosed_proxy_conflicted_seats,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,"Operator 9 Air: Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",2026-08-07
airline_route_capacity_weights,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,广州—池州—沈阳,domestic,2,池州,沈阳,chizhou,shenyang,每周3班,3.0,disclosed_weekly_frequency,188.0,189.0,9air_official_website_188_seats_with_annual_report_189_conflict,https://www.9air.com/cmsProvider/info/1011/1431.htm,2026-05-26,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,2026-04-23,"Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",1347.6,564.0,760.05,764.09,frequency_disclosed_proxy_conflicted_seats,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,"Operator 9 Air: Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",2026-08-07
airline_route_capacity_weights,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,贵阳—常州,domestic,1,贵阳,常州,guiyang,changzhou,每周4班,4.0,disclosed_weekly_frequency,188.0,189.0,9air_official_website_188_seats_with_annual_report_189_conflict,https://www.9air.com/cmsProvider/info/1011/1431.htm,2026-05-26,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,2026-04-23,"Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",1410.7,752.0,1060.85,1066.49,frequency_disclosed_proxy_conflicted_seats,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,"Operator 9 Air: Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",2026-08-07
airline_route_capacity_weights,2026-08-07,Juneyao Airlines,9 Air,Juneyao Airlines,603885.SH,武汉—长春,domestic,1,武汉,长春,wuhan,changchun,每周4班,4.0,disclosed_weekly_frequency,188.0,189.0,9air_official_website_188_seats_with_annual_report_189_conflict,https://www.9air.com/cmsProvider/info/1011/1431.htm,2026-05-26,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,2026-04-23,"Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",1767.4,752.0,1329.08,1336.15,frequency_disclosed_proxy_conflicted_seats,https://static.cninfo.com.cn/finalpage/2025-11-15/1224805625.PDF,issuer_cninfo_operating_release,"Operator 9 Air: Primary source conflict detected: Live official 9air.com fleet page (2026-05-26) states 188 seats for 9 Air B737 operational layout, while Juneyao FY2025 Annual Report Page 15 (2026-04-23) states 189 seats. Analytical inference: 188.0 represents current operational seat-selection layout, while 189.0 represents generic B737 series limit description. Both values and source dates are retained in scenario metadata.",2026-08-07
