dataset_id,report_id,ticker,company,report_type,statement_period,period_start,period_end,announcement_date,source_quality,source_url,raw_snapshot_path,retrieved_at,parse_status,parse_note
airline_official_report_registry,601021_2025_fy,601021.SH,Spring Airlines,annual,FY2025,2025-01-01,2025-12-31,2026-04-11,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-04-11/1225093115.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601021/601021_2025_fy.PDF,2026-08-07T07:09:40.983805+00:00,parsed,financial_page/cost_page/ops_page extracted; 27 driver rows
airline_official_report_registry,601111_2025_fy,0753.HK / 601111.SH,Air China,annual,FY2025,2025-01-01,2025-12-31,2026-03-27,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-27/1225039287.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601111/601111_2025_fy.PDF,2026-08-07T07:37:28.689768+00:00,parsed,financial_page/cost_page/ops_page extracted; 34 driver rows
airline_official_report_registry,601111_2025_h1,0753.HK / 601111.SH,Air China,interim,1H2025,2025-01-01,2025-06-30,2025-08-29,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-29/1224611848.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601111/601111_2025_h1.PDF,2026-08-07T07:37:45.264500+00:00,parsed,financial_page/cost_page/ops_page extracted; 24 driver rows
airline_official_report_registry,600029_2025_fy,01055.HK / 600029.SH,China Southern Airlines,annual,FY2025,2025-01-01,2025-12-31,2026-03-31,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-31/1225063223.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600029/600029_2025_fy.PDF,2026-08-07T07:37:56.879488+00:00,parsed,financial_page/cost_page/ops_page extracted; 31 driver rows
airline_official_report_registry,600029_2025_h1,01055.HK / 600029.SH,China Southern Airlines,interim,1H2025,2025-01-01,2025-06-30,2025-08-29,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-29/1224612089.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600029/600029_2025_h1.PDF,2026-08-07T07:38:12.950631+00:00,parsed,financial_page/cost_page/ops_page extracted; 26 driver rows
airline_official_report_registry,600115_2025_fy,0670.HK / 600115.SH,China Eastern Airlines,annual,FY2025,2025-01-01,2025-12-31,2026-03-31,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-03-31/1225064857.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600115/600115_2025_fy.PDF,2026-08-07T08:14:23.202704+00:00,parsed,financial_page/cost_page/ops_page extracted; 32 driver rows
airline_official_report_registry,600115_2025_h1,0670.HK / 600115.SH,China Eastern Airlines,interim,1H2025,2025-01-01,2025-06-30,2025-08-30,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-30/1224626126.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600115/600115_2025_h1.PDF,2026-08-07T08:31:38.151673+00:00,parsed,financial_page/cost_page/ops_page extracted; 31 driver rows
airline_official_report_registry,601021_2025_h1,601021.SH,Spring Airlines,interim,1H2025,2025-01-01,2025-06-30,2025-08-29,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-29/1224612122.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/601021/601021_2025_h1.PDF,2026-08-07T09:07:27.032960+00:00,parsed,financial_page/cost_page/ops_page extracted; 26 driver rows
airline_official_report_registry,600221_2025_fy,600221.SH,Hainan Airlines Holdings,annual,FY2025,2025-01-01,2025-12-31,2026-04-18,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-04-18/1225119605.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600221/600221_2025_fy.PDF,2026-08-07T09:31:23.142553+00:00,parsed,financial_page/cost_page/ops_page extracted; 29 driver rows
airline_official_report_registry,600221_2025_h1,600221.SH,Hainan Airlines Holdings,interim,1H2025,2025-01-01,2025-06-30,2025-08-30,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-30/1224624045.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/600221/600221_2025_h1.PDF,2026-08-07T10:16:21.434969+00:00,parsed,financial_page/cost_page/ops_page extracted; 27 driver rows
airline_official_report_registry,603885_2025_fy,603885.SH,Juneyao Airlines,annual,FY2025,2025-01-01,2025-12-31,2026-04-23,primary_issuer,https://static.cninfo.com.cn/finalpage/2026-04-23/1225151299.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/603885/603885_2025_fy.PDF,2026-08-07T10:32:07.114363+00:00,parsed,financial_page/cost_page/ops_page extracted; 26 driver rows
airline_official_report_registry,603885_2025_h1,603885.SH,Juneyao Airlines,interim,1H2025,2025-01-01,2025-06-30,2025-08-23,primary_issuer,https://static.cninfo.com.cn/finalpage/2025-08-23/1224558764.PDF,/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/airline_reports/603885/603885_2025_h1.PDF,2026-08-07T11:17:25.265216+00:00,parsed,financial_page/cost_page/ops_page extracted; 28 driver rows
