normalized_mineral_id,mineral_name,signal_date,source_timestamp,as_of_date,signal_quality,ret_4w,ret_12w,price_vs_12w_avg,trend_score,signal_state,bullish,price
aluminum,Aluminum,2022-01-07,2022-01-07 23:00:00,2022-01-08,direct,,,,0.0,neutral,0,2884.5
aluminum,Aluminum,2022-01-14,2022-01-14 23:00:00,2022-01-15,direct,,,,0.0,neutral,0,2962.75
aluminum,Aluminum,2022-01-21,2022-01-21 23:00:00,2022-01-22,direct,,,,0.0,neutral,0,3026.0
aluminum,Aluminum,2022-01-28,2022-01-28 23:00:00,2022-01-29,direct,,,0.04261967254093246,0.014206557513644155,neutral,0,3128.25
aluminum,Aluminum,2022-02-04,2022-02-04 23:00:00,2022-02-05,direct,0.07964985266077318,,0.030134131617683524,0.03659466142615223,neutral,0,3114.25
aluminum,Aluminum,2022-02-11,2022-02-11 23:00:00,2022-02-12,direct,0.10783900092819176,,0.0704152625285357,0.05941808781890915,neutral,0,3282.25
aluminum,Aluminum,2022-02-18,2022-02-18 23:00:00,2022-02-19,direct,0.09203569068076667,,0.06584494873862456,0.052626879806463744,neutral,0,3304.5
aluminum,Aluminum,2022-02-25,2022-02-25 23:00:00,2022-02-26,direct,0.08878766083273404,,0.0852101877850131,0.05799928287258238,neutral,0,3406.0
aluminum,Aluminum,2022-03-04,2022-03-04 23:00:00,2022-03-05,direct,0.24363811511599898,,0.20273277780653176,0.1487902976408436,neutral,0,3873.0
aluminum,Aluminum,2022-03-11,2022-03-11 23:00:00,2022-03-12,direct,0.050041891994820675,,0.06281608486493151,0.0376193256199174,neutral,0,3446.5
aluminum,Aluminum,2022-03-18,2022-03-18 23:00:00,2022-03-19,direct,0.015963080647601657,,0.03198245087012097,0.015981843839240877,neutral,0,3357.25
aluminum,Aluminum,2022-03-25,2022-03-25 23:00:00,2022-03-26,direct,0.04859072225484429,,0.08896186804042516,0.04585086343175648,neutral,0,3571.5
aluminum,Aluminum,2022-04-01,2022-04-01 23:00:00,2022-04-02,direct,-0.10495739736638265,0.20176807072282887,0.04154486557541248,0.04611851297728623,neutral,0,3466.5
aluminum,Aluminum,2022-04-08,2022-04-08 23:00:00,2022-04-09,direct,-0.030683301900478743,0.1275841701122269,-0.005649016847836141,0.030417283787970668,neutral,0,3340.75
aluminum,Aluminum,2022-04-15,2022-04-15 23:00:00,2022-04-16,direct,-0.0317968575470996,0.07419035029742238,-0.03786883729534729,0.00150821848499183,neutral,0,3250.5
aluminum,Aluminum,2022-04-22,2022-04-22 23:00:00,2022-04-23,direct,-0.10317793644127116,0.023895149044993236,-0.053673429190466804,-0.04431873886224824,neutral,0,3203.0
aluminum,Aluminum,2022-04-29,2022-04-29 23:00:00,2022-04-30,direct,-0.12022212606375304,-0.020711246688608798,-0.09751797097517967,-0.07948378124251383,neutral,0,3049.75
aluminum,Aluminum,2022-05-06,2022-05-06 23:00:00,2022-05-07,direct,-0.1525854972685774,-0.13748191027496381,-0.15282323676286302,-0.14763021476880142,neutral,0,2831.0
aluminum,Aluminum,2022-05-13,2022-05-13 23:00:00,2022-05-14,direct,-0.14659283187201966,-0.16053865940384326,-0.15875131887363447,-0.15529427004983246,neutral,0,2774.0
aluminum,Aluminum,2022-05-20,2022-05-20 23:00:00,2022-05-21,direct,-0.08609116453325005,-0.14056077510275988,-0.10140441533856903,-0.10935211832485965,neutral,0,2927.25
aluminum,Aluminum,2022-05-27,2022-05-27 23:00:00,2022-05-28,direct,-0.06549717189933602,-0.2641363284275755,-0.10160764946937062,-0.14374704993209406,neutral,0,2850.0
aluminum,Aluminum,2022-06-03,2022-06-03 23:00:00,2022-06-04,direct,-0.04909925821264571,-0.21891774263745833,-0.13425435834215504,-0.13409045306408637,neutral,0,2692.0
aluminum,Aluminum,2022-06-10,2022-06-10 23:00:00,2022-06-11,direct,-0.048756308579668395,-0.21401444634745703,-0.1347178576308239,-0.1324962041859831,neutral,0,2638.75
aluminum,Aluminum,2022-06-17,2022-06-17 23:00:00,2022-06-18,direct,-0.15927918695020926,-0.31093378132437355,-0.1677492989896997,-0.21265408908809416,neutral,0,2461.0
aluminum,Aluminum,2022-06-24,2022-06-24 23:00:00,2022-06-25,direct,-0.15385964912280703,-0.3043415548824463,-0.1594998475144861,-0.20590035050657982,neutral,0,2411.5
aluminum,Aluminum,2022-07-01,2022-07-01 23:00:00,2022-07-02,direct,-0.11246285289747404,-0.2848162837686148,-0.14358683314415444,-0.18028865660341442,neutral,0,2389.25
aluminum,Aluminum,2022-07-08,2022-07-08 23:00:00,2022-07-09,direct,-0.09663666508763624,-0.26665128441778185,-0.12284871018436883,-0.16204555322992897,neutral,0,2383.75
aluminum,Aluminum,2022-07-15,2022-07-15 23:00:00,2022-07-16,direct,-0.0329134498171475,-0.2569466125507337,-0.1015548197840398,-0.13047162738397367,neutral,0,2380.0
aluminum,Aluminum,2022-07-22,2022-07-22 23:00:00,2022-07-23,direct,0.029649595687331498,-0.18583490450036888,-0.04565763976746784,-0.06728098286016841,neutral,0,2483.0
aluminum,Aluminum,2022-07-29,2022-07-29 23:00:00,2022-07-30,direct,0.03107669770848598,-0.1298127870010597,-0.04187463537952929,-0.046870241557367666,neutral,0,2463.5
aluminum,Aluminum,2022-08-05,2022-08-05 23:00:00,2022-08-06,direct,0.005453592029365462,-0.1359949531362653,-0.056297013297021414,-0.06227945813464042,neutral,0,2396.75
